,quadname,hydrodym,densities.submat,density_m,density_cm,sub
115,submat_P1,oscillating,1,9.336397587,933639.7587,1
116,submat_P1,oscillating,2,40.69711769,4069711.769,2
117,submat_P1,oscillating,3,69.66388969,6966388.969,3
118,submat_P1,oscillating,1,11.73034569,1173034.569,1
119,submat_P1,oscillating,2,42.85167098,4285167.098,2
120,submat_P1,oscillating,3,65.1153883,6511538.83,3
121,submat_H,cyclo,1,20.79156457,2079156.457,1
122,submat_H,cyclo,2,9.40570778,940570.778,2
123,submat_H,cyclo,3,25.74193708,2574193.708,3
124,submat_H,cyclo,1,19.55397144,1955397.144,1
125,submat_H,cyclo,2,8.415633276,841563.3276,2
126,submat_H,cyclo,3,33.41501448,3341501.448,3
127,submat_H,cyclo,1,21.03908319,2103908.319,1
128,submat_H,cyclo,2,11.38585679,1138585.679,2
129,submat_H,cyclo,3,31.6823841,3168238.41,3
130,submat_H,cyclo,1,21.28660182,2128660.182,1
131,submat_H,cyclo,2,11.13833816,1113833.816,2
132,submat_H,cyclo,3,30.44479097,3044479.097,3
133,submat_H,cyclo,1,23.26675082,2326675.082,1
134,submat_H,cyclo,2,12.37593129,1237593.129,2
135,submat_H,cyclo,3,27.47456746,2747456.746,3
136,submat_H,flow,1,23.26675082,2326675.082,1
137,submat_H,flow,2,3.960298012,396029.8012,2
138,submat_H,flow,3,0.742555877,74255.58773,3
139,submat_H,flow,1,23.0192322,2301923.22,1
140,submat_H,flow,2,2.970223509,297022.3509,2
141,submat_H,flow,3,0.990074503,99007.45031,3
142,submat_H,flow,1,19.55397144,1955397.144,1
143,submat_H,flow,2,4.207816638,420781.6638,2
144,submat_H,flow,3,0.990074503,99007.45031,3
145,submat_H,flow,1,19.55397144,1955397.144,1
146,submat_H,flow,2,3.712779387,371277.9387,2
147,submat_H,flow,3,0.742555877,74255.58773,3
148,submat_H,flow,1,20.04900869,2004900.869,1
149,submat_H,flow,2,3.960298012,396029.8012,2
150,submat_H,flow,3,0.495037252,49503.72516,3
151,submat_H,active,1,6.43548427,643548.427,1
152,submat_H,active,2,8.415633276,841563.3276,2
153,submat_H,active,3,7.425558773,742555.8773,3
154,submat_H,active,1,5.692928393,569292.8393,1
155,submat_H,active,2,4.950372516,495037.2516,2
156,submat_H,active,3,7.178040148,717804.0148,3
157,submat_H,active,1,7.920596025,792059.6025,1
158,submat_H,active,2,7.425558773,742555.8773,2
159,submat_H,active,3,5.692928393,569292.8393,3
160,submat_H,active,1,6.930521522,693052.1522,1
161,submat_H,active,2,7.425558773,742555.8773,2
162,submat_H,active,3,6.187965644,618796.5644,3
163,submat_H,active,1,6.683002896,668300.2896,1
164,submat_H,active,2,6.930521522,693052.1522,2
165,submat_H,active,3,9.158189154,915818.9154,3
166,submat_H,oscillating,1,21.28660182,2128660.182,1
167,submat_H,oscillating,2,44.80087127,4480087.127,2
168,submat_H,oscillating,3,56.92928393,5692928.393,3
169,submat_H,oscillating,1,21.28660182,2128660.182,1
170,submat_H,oscillating,2,47.52357615,4752357.615,2
171,submat_H,oscillating,3,54.7016163,5470161.63,3
172,submat_H,oscillating,1,16.3362293,1633622.93,1
173,submat_H,oscillating,2,46.53350165,4653350.165,2
174,submat_H,oscillating,3,59.89950744,5989950.744,3
175,submat_H,oscillating,1,16.58374793,1658374.793,1
176,submat_H,oscillating,2,48.76116928,4876116.928,2
177,submat_H,oscillating,3,58.16687706,5816687.706,3
178,submat_H,oscillating,1,24.25682533,2425682.533,1
179,submat_H,oscillating,2,42.07816638,4207816.638,2
180,submat_H,oscillating,3,56.6817653,5668176.53,3
181,submat_HR,cyclo,1,23.76178807,2376178.807,1
182,submat_HR,cyclo,2,8.415633276,841563.3276,2
